Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
6,SRR1208-100ML,Bourns,SRR1208-100ML,https://octopart.com/srr1208-100ml-bourns-148118,L2 L3 L4 L5 L6 L7,,FIXED IND 10UH 5A 21 MOHM SMD,6,SRR1208-100MLCT-ND,,,6934530,Cut Tape,,,,0.98,,,0.845,11953,,,221,1,,,1,https://octopart.com/click/track?ai=8237&sig=01733f2&sid=459&ppid=148118&vpid=34264358&ct=offers,,,https://octopart.com/click/track?ai=8237&sig=0c0d7fa&sid=10022&ppid=148118&vpid=575456154&ct=offers,Avnet,83R8946,,0.47,2.82,2.82,800,1,https://octopart.com/click/track?ai=8237&sig=0ac58d9&sid=5822&ppid=148118&vpid=503036623&ct=offers,
7,RR1220P-104-D,Susumu,RR1220P-104-D,https://octopart.com/rr1220p-104-d-susumu-981652,R2 R5 R44 R46 R70 R71 R72,,RES SMD 100K OHM 0.5% 1/10W 0805,7,RR12P100KDCT-ND,2474021,,3915719,Cut Tape,Cut Tape,,,0.1,0.108,,,368982,70469,,500,1,1,,100,https://octopart.com/click/track?ai=8237&sig=0299d6a&sid=459&ppid=981652&vpid=1542037&ct=offers,https://octopart.com/click/track?ai=8237&sig=022a240&sid=2454&ppid=981652&vpid=19675409&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0dd98c3&sid=10022&ppid=981652&vpid=576840281&ct=offers,Newark,28K0934,Cut Tape,0.013,0.091,0.091,26418,1,https://octopart.com/click/track?ai=8237&sig=0f3df14&sid=2402&ppid=981652&vpid=2942947&ct=offers,
1,ERA-6AEB203V,Panasonic,ERA6AEB203V,https://octopart.com/era6aeb203v-panasonic-55396948,R43,,RES 20K OHM 0.1% 1/8W 0805,1,P20KDACT-ND,5098752,,,Cut Tape,Cut Tape,,,0.31,0.355,,,50759,25110,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=0c06205&sid=459&ppid=55396948&vpid=118268838&ct=offers,https://octopart.com/click/track?ai=8237&sig=03b0c2d&sid=2454&ppid=55396948&vpid=477169642&ct=offers,,,Avnet,01X1369,,0.044,0.044,0.044,35000,1,https://octopart.com/click/track?ai=8237&sig=03a8e8a&sid=5822&ppid=55396948&vpid=503227276&ct=offers,
2,RC0805FR-0747KL,Yageo,RC0805FR-0747KL,https://octopart.com/rc0805fr-0747kl-yageo-41205014,R63 R80,,RES SMD 47K OHM 1% 1/8W 0805,2,311-47.0KCRCT-ND,2963700,,6182580,Cut Tape,Cut Tape,,,0.1,0.0041,,,903107,1316495,,50000,1,1,,5000,https://octopart.com/click/track?ai=8237&sig=0fa6774&sid=459&ppid=41205014&vpid=114983320&ct=offers,https://octopart.com/click/track?ai=8237&sig=01c416f&sid=2454&ppid=41205014&vpid=416982216&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0af9f31&sid=10022&ppid=41205014&vpid=575956811&ct=offers,Future Electronics,2963700,Cut Tape,0.0041,0.0082,0.0082,1316495,1,https://octopart.com/click/track?ai=8237&sig=01c416f&sid=2454&ppid=41205014&vpid=416982216&ct=offers,
7,ERJ-6DQJ3R3V,Panasonic,ERJ-6DQJ3R3V,https://octopart.com/erj-6dqj3r3v-panasonic-73854714,R64 R67 R68 R69 R73 R74 R77,,RES SMD 3.3 OHM 5% 1/2W 0805,7,P19232CT-ND,,667-ERJ-6DQJ3R3V,,Cut Tape,,Tape & Reel,,0.22,,0.24,,5789,,8945,,1,,1,,https://octopart.com/click/track?ai=8237&sig=003a468&sid=459&ppid=73854714&vpid=260674842&ct=offers,,https://octopart.com/click/track?ai=8237&sig=089cafd&sid=2401&ppid=73854714&vpid=449222001&ct=offers,,Arrow Electronics,ERJ-6DQJ3R3V,Cut Tape,0.0356,0.2492,0.2492,3348,1,https://octopart.com/click/track?ai=8237&sig=0399884&sid=1106&ppid=73854714&vpid=473401022&ct=offers,
2,CRGCQ0805F470R,TE Connectivity,CRGCQ0805F470R,https://octopart.com/crgcq0805f470r-te+connectivity-91018180,R78 R79,,CRGCQ 0805 470R 1%,2,A129745CT-ND,,279-CRGCQ0805F470R,,Cut Tape,,Tape & Reel,,0.1,,0.1,,41548,,15141,,1,,1,,https://octopart.com/click/track?ai=8237&sig=041f101&sid=459&ppid=91018180&vpid=475508772&ct=offers,,https://octopart.com/click/track?ai=8237&sig=01408f3&sid=2401&ppid=91018180&vpid=478301030&ct=offers,,TE Store,CRGCQ0805F470R,,0.02,0.04,0.04,41648,1,https://octopart.com/click/track?ai=8237&sig=076bf19&sid=27910&ppid=91018180&vpid=610745516&ct=offers,
1,RR1220P-753-D,Susumu,RR1220P-753-D,https://octopart.com/rr1220p-753-d-susumu-1234488,R81,,RES SMD 75K OHM 0.5% 1/10W 0805,1,RR12P75.0KDCT-ND,2661106,,,Cut Tape,Tape & Reel,,,0.1,,,,23403,0,,,1,5000,,,https://octopart.com/click/track?c=1&ai=8237&sig=06024cd&sid=459&ppid=1234488&vpid=1967962&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=08d486b&sid=2454&ppid=1234488&vpid=110067476&ct=offers,,,Voyager Components,RR1220P-753-D-SUSUMU-N/A,,0.01,0.01,0.01,5000,1,https://octopart.com/click/track?ai=8237&sig=0c48448&sid=2424&ppid=1234488&vpid=590647227&ct=offers,
2,TPA3116D2DAD,Texas Instruments,TPA3116D2DAD,https://octopart.com/tpa3116d2dad-texas+instruments-22616226,U$1 U$3,,IC AMP CLASS D STER 50W 32HTSSOP,2,296-30433-5-ND,,595-TPA3116D2DAD,8124224,Tube,,Tube,,3.02,,3.03,2.959,817,,246,8,1,,1,1,https://octopart.com/click/track?ai=8237&sig=0bf575f&sid=459&ppid=22616226&vpid=50027165&ct=offers,,https://octopart.com/click/track?ai=8237&sig=05714de&sid=2401&ppid=22616226&vpid=52838523&ct=offers,https://octopart.com/click/track?ai=8237&sig=0bec2c3&sid=10022&ppid=22616226&vpid=575885719&ct=offers,Rochester Electronics,TPA3116D2DAD,,1.7051,3.4102,3.4102,27,1,https://octopart.com/click/track?ai=8237&sig=0c4b7e5&sid=5832&ppid=22616226&vpid=182249048&ct=offers,
2,20188,Watterott,20188,https://octopart.com/20188-watterott-106685580,,,SILENTSTEPSTICK HEATSINK 9 X 9 X,2,2100-20188-ND,,,,Bulk,,,,0.93,,,,983,,,,1,,,,https://octopart.com/click/track?c=1&ai=8237&sig=0bf34c1&sid=459&ppid=106685580&vpid=597361357&ct=offers,,,,Digi-Key,2100-20188-ND,Bulk,0.93,1.86,1.86,983,1,https://octopart.com/click/track?c=1&ai=8237&sig=0bf34c1&sid=459&ppid=106685580&vpid=597361357&ct=offers,
1,PTD902-2020K-A103,Bourns,PTD902-2020K-A103,https://octopart.com/ptd902-2020k-a103-bourns-1765105,U$2,,POT 10K OHM 1/40W CARBON LOG,1,PTD902-2020K-A103-ND,,652-PTD902-2020KA103,,Tray,,Bulk,,2.01,,2.01,,124,,137,,1,,1,,https://octopart.com/click/track?ai=8237&sig=08f9882&sid=459&ppid=1765105&vpid=62989488&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0988985&sid=2401&ppid=1765105&vpid=37760781&ct=offers,,Digi-Key,PTD902-2020K-A103-ND,Tray,2.01,2.01,2.01,124,1,https://octopart.com/click/track?ai=8237&sig=08f9882&sid=459&ppid=1765105&vpid=62989488&ct=offers,
1,PJ-037AH,CUI Devices,PJ-037AH,https://octopart.com/pj-037ah-cui+devices-106234005,J2,,CONN PWR JACK 2X5.5MM SOLDER,1,CP-037AH-ND,2052490,,,Bag,Box,,,0.71,0.39,,,30642,21,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=0e85f88&sid=459&ppid=106234005&vpid=612419795&ct=offers,https://octopart.com/click/track?ai=8237&sig=00169c3&sid=2454&ppid=106234005&vpid=656992088&ct=offers,,,Ameya360,PJ-037AH,Box,0.3465,0.3465,0.3465,500,1,https://octopart.com/click/track?ai=8237&sig=03a1b97&sid=27291&ppid=106234005&vpid=439819909&ct=offers,
